# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "15" "-p" "-s" "2" "-a" "assembly/DV3.gff" "-t" "CDS" "-g" "ID" "-o" "DV3/featureCount_DV3.txt" "DV3/DV3_rep1_rna_map.sorted.bam" "DV3/DV3_rep2_rna_map.sorted.bam" "DV3/DV3_rep3_rna_map.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	DV3/DV3_rep1_rna_map.sorted.bam	DV3/DV3_rep2_rna_map.sorted.bam	DV3/DV3_rep3_rna_map.sorted.bam
LGFCPJMF_00001	contig_1_pilon	578	1690	+	1113	4	0	0
LGFCPJMF_00002	contig_1_pilon	2795	3097	+	303	0	0	0
LGFCPJMF_00003	contig_1_pilon	3091	4152	+	1062	0	0	0
LGFCPJMF_00004	contig_1_pilon	4321	4773	+	453	0	0	0
LGFCPJMF_00005	contig_1_pilon	5246	5497	+	252	0	0	0
LGFCPJMF_00006	contig_1_pilon	5576	6271	+	696	0	0	0
LGFCPJMF_00007	contig_1_pilon	6195	7244	-	1050	0	0	0
LGFCPJMF_00008	contig_1_pilon	7391	8149	-	759	0	0	0
LGFCPJMF_00009	contig_1_pilon	8257	9393	+	1137	0	0	0
LGFCPJMF_00010	contig_1_pilon	9210	9722	-	513	0	2	0
LGFCPJMF_00011	contig_1_pilon	11110	12483	-	1374	0	0	0
LGFCPJMF_00012	contig_1_pilon	13049	13297	+	249	0	0	0
LGFCPJMF_00013	contig_1_pilon	13483	14295	+	813	2	6	2
LGFCPJMF_00014	contig_1_pilon	14315	15403	-	1089	12	6	42
LGFCPJMF_00015	contig_1_pilon	15546	15911	-	366	4	3	0
LGFCPJMF_00016	contig_1_pilon	15926	19507	-	3582	8	12	8
LGFCPJMF_00017	contig_1_pilon	19504	19734	-	231	0	4	0
LGFCPJMF_00018	contig_1_pilon	20144	20836	-	693	6	7	0
LGFCPJMF_00019	contig_1_pilon	20979	22067	+	1089	13	15	6
LGFCPJMF_00020	contig_1_pilon	22064	23221	+	1158	4	12	6
LGFCPJMF_00021	contig_1_pilon	23261	24259	-	999	1	1	0
LGFCPJMF_00022	contig_1_pilon	24665	26062	-	1398	0	0	0
LGFCPJMF_00023	contig_1_pilon	26449	27225	-	777	19	17	60
LGFCPJMF_00024	contig_1_pilon	27409	27717	-	309	135	118	146
LGFCPJMF_00025	contig_1_pilon	28006	28590	+	585	6	2	0
LGFCPJMF_00026	contig_1_pilon	28673	29485	-	813	25	65	34
LGFCPJMF_00027	contig_1_pilon	29591	29974	-	384	6	7	23
LGFCPJMF_00028	contig_1_pilon	30014	30235	-	222	7	14	1
LGFCPJMF_00029	contig_1_pilon	30351	30989	+	639	29	33	131
LGFCPJMF_00030	contig_1_pilon	31045	31818	+	774	25	52	69
LGFCPJMF_00031	contig_1_pilon	31886	32428	-	543	4	6	10
LGFCPJMF_00032	contig_1_pilon	32636	35275	-	2640	120	85	92
LGFCPJMF_00033	contig_1_pilon	35471	36061	-	591	8	6	10
LGFCPJMF_00034	contig_1_pilon	36172	37023	+	852	4	0	20
LGFCPJMF_00035	contig_1_pilon	37051	37287	-	237	0	0	0
LGFCPJMF_00036	contig_1_pilon	37414	37587	-	174	0	0	0
LGFCPJMF_00037	contig_1_pilon	37756	38739	-	984	8	4	0
LGFCPJMF_00038	contig_1_pilon	38978	39445	+	468	0	0	0
LGFCPJMF_00039	contig_1_pilon	39448	39735	+	288	0	0	0
LGFCPJMF_00040	contig_1_pilon	39765	40451	-	687	32	13	64
LGFCPJMF_00041	contig_1_pilon	40513	41862	-	1350	111	82	194
LGFCPJMF_00042	contig_1_pilon	41852	42532	-	681	32	39	78
LGFCPJMF_00043	contig_1_pilon	42685	44178	-	1494	3	3	24
LGFCPJMF_00044	contig_1_pilon	44411	44764	+	354	4	2	0
LGFCPJMF_00045	contig_1_pilon	44769	45752	-	984	12	14	38
LGFCPJMF_00046	contig_1_pilon	46106	47308	-	1203	10	15	0
LGFCPJMF_00047	contig_1_pilon	47667	48584	-	918	20	26	68
LGFCPJMF_00048	contig_1_pilon	48608	49516	-	909	4	27	88
LGFCPJMF_00049	contig_1_pilon	50410	51402	+	993	109	165	140
LGFCPJMF_00050	contig_1_pilon	51998	52279	+	282	5	15	42
LGFCPJMF_00051	contig_1_pilon	52520	52843	+	324	367	273	487
LGFCPJMF_00052	contig_1_pilon	53273	53746	-	474	3	2	43
LGFCPJMF_00053	contig_1_pilon	53863	54240	+	378	9	8	3
LGFCPJMF_00054	contig_1_pilon	54237	55358	+	1122	17	18	16
LGFCPJMF_00055	contig_1_pilon	55351	55845	+	495	7	18	38
LGFCPJMF_00056	contig_1_pilon	55917	57200	-	1284	34	77	42
LGFCPJMF_00057	contig_1_pilon	57490	58326	+	837	42	44	66
LGFCPJMF_00058	contig_1_pilon	58340	59278	-	939	0	3	2
LGFCPJMF_00059	contig_1_pilon	59413	60420	+	1008	6	15	20
LGFCPJMF_00060	contig_1_pilon	60496	62457	-	1962	16	16	62
LGFCPJMF_00061	contig_1_pilon	62462	62878	-	417	10	9	7
LGFCPJMF_00062	contig_1_pilon	62924	63181	-	258	6	16	26
LGFCPJMF_00063	contig_1_pilon	63204	65060	-	1857	44	64	74
LGFCPJMF_00064	contig_1_pilon	65206	65313	-	108	39	17	114
LGFCPJMF_00065	contig_1_pilon	65369	65467	+	99	0	0	0
LGFCPJMF_00066	contig_1_pilon	65686	66435	+	750	18	43	64
LGFCPJMF_00067	contig_1_pilon	66490	67089	-	600	16	11	14
LGFCPJMF_00068	contig_1_pilon	67186	68430	-	1245	67	45	94
LGFCPJMF_00069	contig_1_pilon	68673	69563	+	891	150	111	187
LGFCPJMF_00070	contig_1_pilon	69536	70006	-	471	7	6	28
LGFCPJMF_00071	contig_1_pilon	69994	71010	-	1017	4	12	2
LGFCPJMF_00072	contig_1_pilon	71124	71906	-	783	11	12	0
LGFCPJMF_00073	contig_1_pilon	72038	72409	+	372	28	20	8
LGFCPJMF_00074	contig_1_pilon	72558	72878	+	321	1	5	4
LGFCPJMF_00075	contig_1_pilon	73755	76853	-	3099	824	627	1543
LGFCPJMF_00076	contig_1_pilon	77020	78774	-	1755	340	190	512
LGFCPJMF_00077	contig_1_pilon	79043	80071	+	1029	25	9	0
LGFCPJMF_00078	contig_1_pilon	80068	80886	+	819	5	1	14
LGFCPJMF_00079	contig_1_pilon	81435	83054	+	1620	10	28	34
LGFCPJMF_00080	contig_1_pilon	83514	84275	-	762	65	74	197
LGFCPJMF_00081	contig_1_pilon	84689	88378	+	3690	127	101	152
LGFCPJMF_00082	contig_1_pilon	88380	90020	+	1641	94	35	177
LGFCPJMF_00083	contig_1_pilon	90017	90643	+	627	11	6	0
LGFCPJMF_00084	contig_1_pilon	90640	91446	+	807	25	22	12
LGFCPJMF_00085	contig_1_pilon	91446	92378	+	933	6	1	14
LGFCPJMF_00086	contig_1_pilon	92757	94040	+	1284	6	10	6
LGFCPJMF_00087	contig_1_pilon	94174	95772	+	1599	6	0	0
LGFCPJMF_00088	contig_1_pilon	95769	96638	+	870	4	2	0
LGFCPJMF_00089	contig_1_pilon	96704	97843	-	1140	10	20	18
LGFCPJMF_00090	contig_1_pilon	97894	98799	-	906	24	8	11
LGFCPJMF_00091	contig_1_pilon	98799	100307	-	1509	31	22	67
LGFCPJMF_00092	contig_1_pilon	100510	101952	+	1443	4	2	30
LGFCPJMF_00093	contig_1_pilon	102148	102717	+	570	1	0	4
LGFCPJMF_00094	contig_1_pilon	102714	103712	+	999	0	0	0
LGFCPJMF_00095	contig_1_pilon	103709	105937	+	2229	4	2	0
LGFCPJMF_00096	contig_1_pilon	106175	106384	+	210	1	2	0
LGFCPJMF_00097	contig_1_pilon	106399	107154	-	756	757	1182	1224
LGFCPJMF_00098	contig_1_pilon	107418	109109	-	1692	100	149	210
LGFCPJMF_00099	contig_1_pilon	109249	109746	+	498	8	4	2
LGFCPJMF_00100	contig_1_pilon	110099	110812	-	714	3245	4680	4040
LGFCPJMF_00101	contig_1_pilon	111405	112220	+	816	205	277	414
LGFCPJMF_00102	contig_1_pilon	112248	113153	-	906	465	486	359
LGFCPJMF_00103	contig_1_pilon	113244	113486	-	243	73	110	108
LGFCPJMF_00104	contig_1_pilon	113682	114176	+	495	4	10	0
LGFCPJMF_00105	contig_1_pilon	114256	114849	+	594	12	14	22
LGFCPJMF_00106	contig_1_pilon	114891	116141	-	1251	1284	1243	1291
LGFCPJMF_00107	contig_1_pilon	116358	117230	-	873	20	55	90
LGFCPJMF_00108	contig_1_pilon	117267	118328	-	1062	14	13	82
LGFCPJMF_00109	contig_1_pilon	118345	119799	-	1455	5	2	0
LGFCPJMF_00110	contig_1_pilon	120448	120891	-	444	0	0	0
LGFCPJMF_00111	contig_1_pilon	121042	121569	-	528	0	4	0
LGFCPJMF_00112	contig_1_pilon	121627	122100	+	474	0	8	16
LGFCPJMF_00113	contig_1_pilon	123304	124191	-	888	9	16	24
LGFCPJMF_00114	contig_1_pilon	124556	125038	-	483	0	0	0
LGFCPJMF_00115	contig_1_pilon	125139	127229	-	2091	16	29	41
LGFCPJMF_00116	contig_1_pilon	127873	129159	-	1287	34	14	62
LGFCPJMF_00117	contig_1_pilon	129352	129798	+	447	48	34	50
LGFCPJMF_00118	contig_1_pilon	129942	130610	+	669	2	6	0
LGFCPJMF_00119	contig_1_pilon	130607	133174	-	2568	15	16	4
LGFCPJMF_00120	contig_1_pilon	133167	136685	-	3519	10	12	18
LGFCPJMF_00121	contig_1_pilon	136782	137621	-	840	15	18	0
LGFCPJMF_00122	contig_1_pilon	137621	138922	-	1302	16	25	42
LGFCPJMF_00123	contig_1_pilon	138891	140318	-	1428	1	0	0
LGFCPJMF_00124	contig_1_pilon	140372	141145	-	774	0	0	0
LGFCPJMF_00125	contig_1_pilon	142004	142528	+	525	47	44	53
LGFCPJMF_00126	contig_1_pilon	142938	143120	+	183	21	8	2
LGFCPJMF_00127	contig_1_pilon	143363	144241	-	879	153	202	218
LGFCPJMF_00128	contig_1_pilon	144238	144372	-	135	47	9	24
LGFCPJMF_00129	contig_1_pilon	145047	145442	-	396	87	95	54
LGFCPJMF_00130	contig_1_pilon	145533	147506	+	1974	2393	2504	5443
LGFCPJMF_00131	contig_1_pilon	148020	148358	+	339	203	295	264
LGFCPJMF_00132	contig_1_pilon	148911	149855	-	945	31	44	56
LGFCPJMF_00133	contig_1_pilon	150305	150772	-	468	165	162	188
LGFCPJMF_00134	contig_1_pilon	151004	151516	-	513	3	6	20
LGFCPJMF_00135	contig_1_pilon	152142	152417	+	276	21	57	74
LGFCPJMF_00136	contig_1_pilon	152433	153161	-	729	12	1	2
LGFCPJMF_00137	contig_1_pilon	154137	154301	+	165	8	5	22
LGFCPJMF_00138	contig_1_pilon	154323	155393	+	1071	0	6	18
LGFCPJMF_00139	contig_1_pilon	155765	156547	-	783	340	179	1409
LGFCPJMF_00140	contig_1_pilon	157076	157276	-	201	1	0	0
LGFCPJMF_00141	contig_1_pilon	157233	157490	-	258	4	6	18
LGFCPJMF_00142	contig_1_pilon	157906	158535	+	630	33	7	44
LGFCPJMF_00143	contig_1_pilon	158888	159601	+	714	93	62	100
LGFCPJMF_00144	contig_1_pilon	160108	160203	-	96	38	41	31
LGFCPJMF_00145	contig_1_pilon	160252	160854	+	603	6	11	8
LGFCPJMF_00146	contig_1_pilon	161436	161654	-	219	6	3	0
LGFCPJMF_00147	contig_1_pilon	161662	161901	-	240	5	11	0
LGFCPJMF_00148	contig_1_pilon	162022	162150	+	129	3	22	4
LGFCPJMF_00149	contig_1_pilon	162590	163282	-	693	624	403	2138
LGFCPJMF_00150	contig_1_pilon	163380	164108	-	729	903	798	3416
LGFCPJMF_00151	contig_1_pilon	164105	164872	-	768	239	226	356
LGFCPJMF_00152	contig_1_pilon	165207	165935	+	729	15	22	110
LGFCPJMF_00153	contig_1_pilon	166363	166710	+	348	21	29	68
LGFCPJMF_00154	contig_1_pilon	166703	167698	+	996	54	8	77
LGFCPJMF_00155	contig_1_pilon	168497	168979	-	483	62	81	91
LGFCPJMF_00156	contig_1_pilon	170714	171094	+	381	250	314	483
LGFCPJMF_00157	contig_1_pilon	171323	172765	+	1443	189	125	340
LGFCPJMF_00158	contig_1_pilon	172861	173034	+	174	46	54	1
LGFCPJMF_00159	contig_1_pilon	173227	173415	-	189	24	11	8
