# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "15" "-p" "-s" "2" "-a" "/home/haddock/private/Genome_analysis/GenomeAnalysis/data/assembly/R7.gff" "-t" "CDS" "-g" "ID" "-o" "featureCount_HP126_2.txt" "HP126_rep1_rna_map.sorted.bam" "HP126_rep2_rna_map.sorted.bam" "HP126_rep3_rna_map.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	HP126_rep1_rna_map.sorted.bam	HP126_rep2_rna_map.sorted.bam	HP126_rep3_rna_map.sorted.bam
PAOEAKHP_00001	contig_2_pilon	599	3340	+	2742	61	43	55
PAOEAKHP_00002	contig_2_pilon	3458	3964	+	507	103	152	154
PAOEAKHP_00003	contig_2_pilon	3975	4844	+	870	323	336	279
PAOEAKHP_00004	contig_2_pilon	4971	5462	-	492	3	7	4
PAOEAKHP_00005	contig_2_pilon	5536	7575	+	2040	576	532	419
PAOEAKHP_00006	contig_2_pilon	7587	8069	+	483	202	254	179
PAOEAKHP_00007	contig_2_pilon	8015	8950	+	936	383	353	366
PAOEAKHP_00008	contig_2_pilon	9084	9659	-	576	38	34	37
PAOEAKHP_00009	contig_2_pilon	9659	11302	-	1644	166	158	267
PAOEAKHP_00010	contig_2_pilon	11542	11940	-	399	48	9	12
PAOEAKHP_00011	contig_2_pilon	11952	12386	-	435	46	75	43
PAOEAKHP_00012	contig_2_pilon	12596	13471	+	876	153	129	140
PAOEAKHP_00013	contig_2_pilon	13654	14646	-	993	473	492	416
PAOEAKHP_00014	contig_2_pilon	14744	15385	-	642	59	124	102
PAOEAKHP_00015	contig_2_pilon	15682	16719	+	1038	599	439	445
PAOEAKHP_00016	contig_2_pilon	17940	18263	-	324	277	341	272
PAOEAKHP_00017	contig_2_pilon	18596	19372	-	777	15548	12185	9472
PAOEAKHP_00018	contig_2_pilon	19442	20143	+	702	371	308	230
PAOEAKHP_00019	contig_2_pilon	20450	20575	+	126	0	0	0
