# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "15" "-p" "-s" "2" "-a" "assembly/R7.gff" "-t" "CDS" "-g" "ID" "-o" "R7/featureCount_R7.txt" "R7/R7_rep1_rna_map.sorted.bam" "R7/R7_rep2_rna_map.sorted.bam" "R7/R7_rep3_rna_map.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	R7/R7_rep1_rna_map.sorted.bam	R7/R7_rep2_rna_map.sorted.bam	R7/R7_rep3_rna_map.sorted.bam
PAOEAKHP_00001	contig_2_pilon	599	3340	+	2742	27	42	48
PAOEAKHP_00002	contig_2_pilon	3458	3964	+	507	167	159	201
PAOEAKHP_00003	contig_2_pilon	3975	4844	+	870	334	321	366
PAOEAKHP_00004	contig_2_pilon	4971	5462	-	492	2	6	7
PAOEAKHP_00005	contig_2_pilon	5536	7575	+	2040	533	591	565
PAOEAKHP_00006	contig_2_pilon	7587	8069	+	483	145	107	144
PAOEAKHP_00007	contig_2_pilon	8015	8950	+	936	267	203	219
PAOEAKHP_00008	contig_2_pilon	9084	9659	-	576	23	30	38
PAOEAKHP_00009	contig_2_pilon	9659	11302	-	1644	199	189	179
PAOEAKHP_00010	contig_2_pilon	11542	11940	-	399	18	22	18
PAOEAKHP_00011	contig_2_pilon	11952	12386	-	435	13	13	7
PAOEAKHP_00012	contig_2_pilon	12596	13471	+	876	57	50	37
PAOEAKHP_00013	contig_2_pilon	13654	14646	-	993	170	136	141
PAOEAKHP_00014	contig_2_pilon	14744	15385	-	642	78	51	55
PAOEAKHP_00015	contig_2_pilon	15682	16719	+	1038	191	179	134
PAOEAKHP_00016	contig_2_pilon	17940	18263	-	324	66	79	74
PAOEAKHP_00017	contig_2_pilon	18596	19372	-	777	2441	1972	2650
PAOEAKHP_00018	contig_2_pilon	19442	20143	+	702	28	22	36
PAOEAKHP_00019	contig_2_pilon	20450	20575	+	126	0	0	0
PAOEAKHP_00020	contig_2_pilon	21003	21254	-	252	3	8	17
PAOEAKHP_00021	contig_2_pilon	22167	22661	+	495	2	2	2
PAOEAKHP_00022	contig_2_pilon	24316	25215	+	900	46	30	55
PAOEAKHP_00023	contig_2_pilon	25325	25753	+	429	8	22	15
PAOEAKHP_00024	contig_2_pilon	25955	26473	-	519	4	6	18
PAOEAKHP_00025	contig_2_pilon	26573	27022	+	450	0	0	6
PAOEAKHP_00026	contig_2_pilon	27038	27364	-	327	4	2	4
PAOEAKHP_00027	contig_2_pilon	27498	27860	+	363	1	2	2
PAOEAKHP_00028	contig_2_pilon	27911	28507	-	597	21	33	14
PAOEAKHP_00029	contig_2_pilon	28874	30055	+	1182	16	13	49
PAOEAKHP_00030	contig_2_pilon	30048	30713	+	666	10	21	17
PAOEAKHP_00031	contig_2_pilon	30935	32215	+	1281	26	14	21
PAOEAKHP_00032	contig_2_pilon	32949	33356	-	408	17	8	18
PAOEAKHP_00033	contig_2_pilon	33371	33565	-	195	0	1	5
PAOEAKHP_00034	contig_2_pilon	33552	33821	-	270	8	13	6
PAOEAKHP_00035	contig_2_pilon	34000	34572	-	573	20	28	8
PAOEAKHP_00036	contig_2_pilon	34621	35478	+	858	5	2	6
PAOEAKHP_00037	contig_2_pilon	35492	35605	-	114	0	3	2
