# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "15" "-p" "-s" "2" "-a" "assembly/HP126.gff" "-t" "CDS" "-g" "ID" "-o" "HP126/featureCount_HP126.txt" "HP126/HP126_rep1_rna_map.sorted.bam" "HP126/HP126_rep2_rna_map.sorted.bam" "HP126/HP126_rep3_rna_map.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	HP126/HP126_rep1_rna_map.sorted.bam	HP126/HP126_rep2_rna_map.sorted.bam	HP126/HP126_rep3_rna_map.sorted.bam
GIOHHFHI_00001	contig_1_pilon	549	1100	+	552	0	0	0
GIOHHFHI_00002	contig_1_pilon	1851	2117	-	267	0	0	0
GIOHHFHI_00003	contig_1_pilon	2829	3077	+	249	0	0	0
GIOHHFHI_00004	contig_1_pilon	3473	4201	+	729	0	0	0
GIOHHFHI_00005	contig_1_pilon	4364	5269	-	906	0	0	0
GIOHHFHI_00006	contig_1_pilon	5308	5595	+	288	4	5	0
GIOHHFHI_00007	contig_1_pilon	5977	7116	+	1140	2	5	14
GIOHHFHI_00008	contig_1_pilon	7733	8524	-	792	4	4	2
GIOHHFHI_00009	contig_1_pilon	8682	9170	+	489	4	2	0
GIOHHFHI_00010	contig_1_pilon	9211	9372	-	162	0	0	0
GIOHHFHI_00011	contig_1_pilon	9574	9753	-	180	2	8	0
GIOHHFHI_00012	contig_1_pilon	10437	10802	-	366	0	2	0
GIOHHFHI_00013	contig_1_pilon	10817	13663	-	2847	4	4	4
GIOHHFHI_00014	contig_1_pilon	14394	14624	-	231	0	0	6
GIOHHFHI_00015	contig_1_pilon	14748	15725	-	978	0	4	2
GIOHHFHI_00016	contig_1_pilon	15868	16956	+	1089	3	4	19
GIOHHFHI_00017	contig_1_pilon	16953	18110	+	1158	4	2	10
GIOHHFHI_00018	contig_1_pilon	18150	19148	-	999	1	2	2
GIOHHFHI_00019	contig_1_pilon	19554	20951	-	1398	0	0	0
GIOHHFHI_00020	contig_1_pilon	21338	22114	-	777	55	43	53
GIOHHFHI_00021	contig_1_pilon	22298	22606	-	309	766	624	575
GIOHHFHI_00022	contig_1_pilon	22895	23479	+	585	4	2	6
GIOHHFHI_00023	contig_1_pilon	23562	24374	-	813	94	82	70
GIOHHFHI_00024	contig_1_pilon	24480	24863	-	384	14	22	17
GIOHHFHI_00025	contig_1_pilon	24903	25124	-	222	20	15	20
GIOHHFHI_00026	contig_1_pilon	25240	25878	+	639	38	49	54
GIOHHFHI_00027	contig_1_pilon	25934	26707	+	774	97	67	113
GIOHHFHI_00028	contig_1_pilon	26775	27317	-	543	4	18	6
GIOHHFHI_00029	contig_1_pilon	27525	30164	-	2640	111	143	176
GIOHHFHI_00030	contig_1_pilon	30360	30950	-	591	24	16	31
GIOHHFHI_00031	contig_1_pilon	31061	31912	+	852	4	0	0
